Reaction_ID,Reaction_Equation,Subsystem
ILEabcpp,atp_c + h2o_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c,Transport Systems
ILEt2rpp,h_p + ile__L_p <=> h_c + ile__L_c,Transport Systems
ILEtex,ile__L_e <=> ile__L_p,Transport Systems
IMPC,h2o_c + imp_c <=> fprica_c,Nucleotide Metabolism
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,Nucleotide Metabolism
IND3ACtex,ind3ac_p <=> ind3ac_e,Transport Systems
IND3ACtpp,h_p + ind3ac_c --> h_c + ind3ac_p,Transport Systems
INDOLEt5,h_p + indole_c --> h_c + indole_e,Transport Systems
INDOLEt6,h_p + indole_p --> h_c + indole_e,Transport Systems
INDOLEtex,indole_e <=> indole_p,Transport Systems
INDOLEtpp,indole_p --> indole_c,Transport Systems
INSH,h2o_c + ins_c --> hxan_c + rib__D_c,Nucleotide Metabolism
INStex,ins_e <=> ins_p,Transport Systems
IPDDI,ipdp_c <=> dmpp_c,Cofactor and Vitamin Biosynthesis
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,Cofactor and Vitamin Biosynthesis
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,Amino Acid Metabolism
IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c,Amino Acid Metabolism
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c,Amino Acid Metabolism
IPPS,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,Amino Acid Metabolism
ISETACabcpp,atp_c + h2o_c + isetac_p --> adp_c + h_c + isetac_c + pi_c,Transport Systems
ISETACtex,isetac_e <=> isetac_p,Transport Systems
ISOAML,bglyg4n_c + h2o_c --> maltttr_c,Alternative Carbon Metabolism
IVCS,3mb_c + atp_c + coa_c --> amp_c + ivcoa_c + ppi_c,Amino Acid Metabolism
IZPN,4izp_c + h2o_c --> forglu_c + h_c,Amino Acid Metabolism
KARA1,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,Amino Acid Metabolism
KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,Amino Acid Metabolism
KAS14,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,Fatty Acid and Lipid Metabolism
KAS15,accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,Fatty Acid and Lipid Metabolism
KAT1,aacoa_c + coa_c --> 2.0 accoa_c,Fatty Acid and Lipid Metabolism
KAT10,3ohpcoa_c + coa_c --> accoa_c + ptcoa_c,Fatty Acid and Lipid Metabolism
KAT11,3ononacoa_c + coa_c --> accoa_c + hptcoa_c,Fatty Acid and Lipid Metabolism
KAT12,3opdecacoa_c + coa_c --> accoa_c + poctacoa_c,Fatty Acid and Lipid Metabolism
KAT13,3opnonacoa_c + coa_c --> accoa_c + phpcoa_c,Fatty Acid and Lipid Metabolism
KAT14,3opoctacoa_c + coa_c --> accoa_c + phxacoa_c,Fatty Acid and Lipid Metabolism
KAT15,3ophpcoa_c + coa_c --> accoa_c + pptcoa_c,Fatty Acid and Lipid Metabolism
KAT16,3ophxacoa_c + coa_c --> accoa_c + pbcoa_c,Fatty Acid and Lipid Metabolism
KAT17,3opptcoa_c + coa_c --> accoa_c + phppcoa_c,Fatty Acid and Lipid Metabolism
KAT18,3opbcoa_c + coa_c --> accoa_c + phaccoa_c,Fatty Acid and Lipid Metabolism
KAT19,3o6athcoa_c + coa_c --> 4atbcoa_c + accoa_c,Fatty Acid and Lipid Metabolism
KAT2,3ohcoa_c + coa_c --> accoa_c + btcoa_c,Fatty Acid and Lipid Metabolism
KAT20,3ovacccoa_c + coa_c --> accoa_c + hdcoa_c,Fatty Acid and Lipid Metabolism
KAT21,3ohdccoa_c + coa_c --> accoa_c + tdecoa_c,Fatty Acid and Lipid Metabolism
KAT22,3otdccoa_c + coa_c --> accoa_c + ddecoa_c,Fatty Acid and Lipid Metabolism
KAT23,3oddccoa_c + coa_c --> accoa_c + decoa_c,Fatty Acid and Lipid Metabolism
KAT24,3oodecoa_c + coa_c --> accoa_c + hdd7coa_c,Fatty Acid and Lipid Metabolism
KAT25,3ohdd7coa_c + coa_c --> accoa_c + tded5coa_c,Fatty Acid and Lipid Metabolism
KAT26,3odd5coa_c + coa_c --> accoa_c + dded3coa_c,Fatty Acid and Lipid Metabolism
KAT27,3optslacoa_c + coa_c --> accoa_c + hdd4coa_c,Fatty Acid and Lipid Metabolism
KAT28,3ohdd4coa_c + coa_c --> accoa_c + tde_2Z_coa_c,Fatty Acid and Lipid Metabolism
KAT29,3olnlccoa_c + coa_c --> accoa_c + hd_7_10_coa_c,Fatty Acid and Lipid Metabolism
KAT3,3oocoa_c + coa_c --> accoa_c + hxcoa_c,Fatty Acid and Lipid Metabolism
KAT30,3ohd710coa_c + coa_c --> accoa_c + td_5_8_coa_c,Fatty Acid and Lipid Metabolism
KAT31,3ohd58coa_c + coa_c --> accoa_c + dd_3_6_coa_c,Fatty Acid and Lipid Metabolism
KAT32,3odd6coa_c + coa_c --> accoa_c + dec4coa_c,Fatty Acid and Lipid Metabolism
KAT4,3odcoa_c + coa_c --> accoa_c + occoa_c,Fatty Acid and Lipid Metabolism
KAT5,3oddcoa_c + coa_c --> accoa_c + dcacoa_c,Fatty Acid and Lipid Metabolism
KAT6,3otdcoa_c + coa_c --> accoa_c + ddcacoa_c,Fatty Acid and Lipid Metabolism
KAT7,3ohdcoa_c + coa_c --> accoa_c + tdcoa_c,Fatty Acid and Lipid Metabolism
ACACT8r,3ohodcoa_c + coa_c --> accoa_c + pmtcoa_c,Fatty Acid and Lipid Metabolism
KAT9,3optcoa_c + coa_c --> accoa_c + ppcoa_c,Fatty Acid and Lipid Metabolism
KDOCT2,ctp_c + kdo_c --> ckdo_c + ppi_c,Cell Envelope and Wall Biosynthesis
KDOPP,h2o_c + kdo8p_c --> kdo_c + pi_c,Cell Envelope and Wall Biosynthesis
KDOPS,ara5p_c + h2o_c + pep_c --> kdo8p_c + pi_c,Cell Envelope and Wall Biosynthesis
Kabcpp,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c,Transport Systems
Kt2pp,h_p + k_p --> h_c + k_c,Transport Systems
Kt3pp,h_p + k_c --> h_c + k_p,Transport Systems
Ktex,k_e <=> k_p,Transport Systems
LALALGLUtex,LalaLglu_e <=> LalaLglu_p,Transport Systems
LALGP,LalaLglu_c + h2o_c --> ala__L_c + glu__L_c,Nitrogen Metabolism
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,Central Carbon Metabolism
LCTSt3ipp,h_p + lcts_c --> h_c + lcts_p,Transport Systems
LDH_D,lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,Central Carbon Metabolism
LDH_D2,lac__D_c + q8_c --> pyr_c + q8h2_c,Central Carbon Metabolism
LEUDHr,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,Amino Acid Metabolism
LEULEUabcpp,atp_c + h2o_c + leuleu_p --> adp_c + h_c + leuleu_c + pi_c,Transport Systems
LEULEUtex,leuleu_e <=> leuleu_p,Transport Systems
LEUTA,akg_c + leu__L_c <=> 4mop_c + glu__L_c,Amino Acid Metabolism
LEUTRS,atp_c + leu__L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c,Cellular Processes and Storage
LEUabcpp,atp_c + h2o_c + leu__L_p --> adp_c + h_c + leu__L_c + pi_c,Transport Systems
LEUt2rpp,h_p + leu__L_p <=> h_c + leu__L_c,Transport Systems
LEUtex,leu__L_e <=> leu__L_p,Transport Systems
LGTHL,gthrd_c + mthgxl_c --> lgt__S_c,Central Carbon Metabolism
LIPAH,2.0 akg_c + lipa_kt_c + 2.0 o2_c --> 2.0 co2_c + lipa_oh_c + 2.0 succ_c,Cell Envelope and Wall Biosynthesis
LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c,Cofactor and Vitamin Biosynthesis
LIPOS,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,Cofactor and Vitamin Biosynthesis
LNLCtexi,lnlc_e --> lnlc_p,Transport Systems
LPADSS2,lipidX_kt_c + u23dddcga_c --> h_c + lipidAds_kt_c + udp_c,Fatty Acid and Lipid Metabolism
LPCOXc,Lpipecol_c + o2_c --> h2o2_c + h_c + thp2c_c,Amino Acid Metabolism
LPLIPAL1E160pp,1agpe160_p + h2o_p --> g3pe_p + h_p + hdca_p,Fatty Acid and Lipid Metabolism
LPLIPAL1E161pp,1agpe161_p + h2o_p --> g3pe_p + h_p + hdcea_p,Fatty Acid and Lipid Metabolism
LPLIPAL1E180pp,1agpe180_p + h2o_p --> g3pe_p + h_p + ocdca_p,Fatty Acid and Lipid Metabolism
LPLIPAL1E181d11pp,1agpe181_p + h2o_p --> g3pe_p + h_p + vacc_p,Fatty Acid and Lipid Metabolism
LPLIPAL1G160pp,1agpg160_p + h2o_p --> g3pg_p + h_p + hdca_p,Fatty Acid and Lipid Metabolism
LPLIPAL1G161pp,1agpg161_p + h2o_p --> g3pg_p + h_p + hdcea_p,Fatty Acid and Lipid Metabolism
LPLIPAL1G180pp,1agpg180_p + h2o_p --> g3pg_p + h_p + ocdca_p,Fatty Acid and Lipid Metabolism
LPLIPAL1G181d11pp,1agpg181_p + h2o_p --> g3pg_p + h_p + vacc_p,Fatty Acid and Lipid Metabolism
LPSALAT,alatrna_c + ggalicore_kt_c --> galagalicore_kt_c + trnaala_c,Cell Envelope and Wall Biosynthesis
LPSGTR1_kt,icore_kt_c + udpgal_c --> galicore_kt_c + h_c + udp_c,Cell Envelope and Wall Biosynthesis
LPSGTR2_kt,galicore_kt_c + udpg_c --> ggalicore_kt_c + h_c + udp_c,Cell Envelope and Wall Biosynthesis
LPSGTR3_kt,galagalicore_kt_c + udpg_c --> ggalagalicore_kt_c + h_c + udp_c,Cell Envelope and Wall Biosynthesis
LPSGTR4_kt,ggalagalicore_kt_c + udpg_c --> h_c + lpscore_kt_c + udp_c,Cell Envelope and Wall Biosynthesis
LSERDHr,nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c,Amino Acid Metabolism
LTDCL,h_c + trp__L_c --> co2_c + trypta_c,Stress Response and Environmental Adaptation
LYSDC,h_c + lys__L_c --> 15dap_c + co2_c,Amino Acid Metabolism
LYSMO,lys__L_c + o2_c --> 5apentam_c + co2_c + h2o_c + h_c,Amino Acid Metabolism
LYSRC,lys__L_c <=> lys__D_c,Amino Acid Metabolism
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,Cellular Processes and Storage
LYSabcpp,atp_c + h2o_c + lys__L_p --> adp_c + h_c + lys__L_c + pi_c,Transport Systems
LYStex,lys__L_e <=> lys__L_p,Transport Systems
L_LACD2,lac__L_c + q8_c --> pyr_c + q8h2_c,Central Carbon Metabolism
L_LACt2rpp,h_p + lac__L_p <=> h_c + lac__L_c,Transport Systems
L_LACtex,lac__L_e <=> lac__L_p,Transport Systems
MACACI,4mlacac_c --> 4fumacac_c,Aromatic Compound Degradation
MACCOAT,2maacoa_c + coa_c --> accoa_c + ppcoa_c,Amino Acid Metabolism
MACPD,h_c + malACP_c --> acACP_c + co2_c,Fatty Acid and Lipid Metabolism
MAGLIPA160ex,1ag160_e + h2o_e --> glyc_e + h_e + hdca_e,Fatty Acid and Lipid Metabolism
MAGLIPA180ex,1ag180_e + h2o_e --> glyc_e + h_e + ocdca_e,Fatty Acid and Lipid Metabolism
MAGLIPA181d9ex,1ag181d9_e + h2o_e --> glyc_e + h_e + ocdcea_e,Fatty Acid and Lipid Metabolism
MAGLIPA182d9d12ex,1ag182d9d12_e + h2o_e --> glyc_e + h_e + lnlc_e,Fatty Acid and Lipid Metabolism
MAL1K,atp_c + malt_c --> adp_c + h_c + malt1p_c,Alternative Carbon Metabolism
MALCOAMT,amet_c + malcoa_c --> ahcys_c + malcoame_c,Cofactor and Vitamin Biosynthesis
MALDt2_2pp,2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c,Transport Systems
MALDtex,mal__D_e <=> mal__D_p,Transport Systems
MALEI,male_c <=> fum_c,Aromatic Compound Degradation
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Central Carbon Metabolism
MALTT,2.0 malt1p_c --> glyg4n_c + 2.0 pi_c,Alternative Carbon Metabolism
MALt2_2pp,2.0 h_p + mal__L_p --> 2.0 h_c + mal__L_c,Transport Systems
MALtex,mal__L_e <=> mal__L_p,Transport Systems
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,Cellular Processes and Storage
MAN6PI,man6p_c <=> f6p_c,Cellular Processes and Storage
MANE,man_c <=> glc__D_c,Alternative Carbon Metabolism
MANabcpp,atp_c + h2o_c + man_p --> adp_c + h_c + man_c + pi_c,Transport Systems
MANtex,man_e <=> man_p,Transport Systems
MBCOAi,fad_c + ivcoa_c --> 3mb2coa_c + fadh2_c,Amino Acid Metabolism
MCBTFR1,fadh2_c + 2.0 fe3mcbtt_c --> fad_c + 2.0 fe2_c + 2.0 h_c + 2.0 mcbtt_c,Metal and Inorganic Metabolism
MCBTFR2,2.0 fe3mcbtt_c + fmnh2_c --> 2.0 fe2_c + fmn_c + 2.0 h_c + 2.0 mcbtt_c,Metal and Inorganic Metabolism
MCBTFUexs,fe3_e + mcbtt_e --> fe3mcbtt_e,Metal and Inorganic Metabolism
MCBTFabcpp,atp_c + fe3mcbtt_p + h2o_c --> adp_c + fe3mcbtt_c + h_c + pi_c,Metal and Inorganic Metabolism
MCBTFtex,h_p + mcbtt_p --> h_c + mcbtt_e,Metal and Inorganic Metabolism
MCBTFtonex,fe3mcbtt_e + h_p --> fe3mcbtt_p + h_c,Metal and Inorganic Metabolism
MCBTFtpp,h_p + mcbtt_c --> h_c + mcbtt_p,Metal and Inorganic Metabolism
MCCC,3mb2coa_c + atp_c + hco3_c --> 3mgcoa_c + adp_c + h_c + pi_c,Amino Acid Metabolism
MCITD,2mcit_c --> 2mcacn_c + h2o_c,Alternative Carbon Metabolism
MCITL2,micit_c <=> pyr_c + succ_c,Alternative Carbon Metabolism
MCITS,h2o_c + oaa_c + ppcoa_c --> 2mcit_c + coa_c + h_c,Alternative Carbon Metabolism
MCOATA,ACP_c + malcoa_c <=> coa_c + malACP_c,Fatty Acid and Lipid Metabolism
MCSNAH,5mcsn_c + h2o_c + h_c --> nh4_c + thym_c,Nucleotide Metabolism
MCSNtex,5mcsn_e <=> 5mcsn_p,Transport Systems
MCSNtpp,5mcsn_p + h_p --> 5mcsn_c + h_c,Transport Systems
MCTP1App,murein5p5p_p --> ala__D_p + murein5px4p_p,Cell Envelope and Wall Biosynthesis
MCTP1Bpp,murein5p5p_p --> alaala_p + murein5px3p_p,Cell Envelope and Wall Biosynthesis
MCTP2App,murein5p5p5p_p --> 2.0 ala__D_p + murein5px4px4p_p,Cell Envelope and Wall Biosynthesis
MDDCP1pp,h2o_p + murein5px4p_p --> ala__D_p + murein4px4p_p,Cell Envelope and Wall Biosynthesis
MDDCP2pp,h2o_p + murein5px4px4p_p --> ala__D_p + murein4px4px4p_p,Cell Envelope and Wall Biosynthesis
MDDCP3pp,h2o_p + murein5p5p_p --> ala__D_p + murein5p4p_p,Cell Envelope and Wall Biosynthesis
MDDCP4pp,h2o_p + murein5p4p_p --> ala__D_p + murein4p4p_p,Cell Envelope and Wall Biosynthesis
MDDCP5pp,h2o_p + murein5p3p_p --> ala__D_p + murein4p3p_p,Cell Envelope and Wall Biosynthesis
MDDEP1pp,h2o_p + murein4px4p_p --> murein4p4p_p,Cell Envelope and Wall Biosynthesis
MDDEP2pp,h2o_p + murein3px4p_p --> murein4p3p_p,Cell Envelope and Wall Biosynthesis
MDDEP3pp,h2o_p + murein5px4p_p --> murein5p4p_p,Cell Envelope and Wall Biosynthesis
MDDEP4pp,h2o_p + murein4px4px4p_p --> murein4px4p4p_p,Cell Envelope and Wall Biosynthesis
MDH,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,Central Carbon Metabolism
MDH2,mal__L_c + q8_c --> oaa_c + q8h2_c,Central Carbon Metabolism
MDNTHAep,2m35mdntha_c + h_p --> 2m35mdntha_e + h_c,Stress Response and Environmental Adaptation
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,Central Carbon Metabolism
MECDPDH5,2mecdp_c + 2.0 flxr_c + h_c --> 2.0 flxso_c + h2mb4p_c + h2o_c,Cofactor and Vitamin Biosynthesis
MECDPS,2p4c2me_c --> 2mecdp_c + cmp_c,Amino Acid Metabolism
MELIBt3ipp,h_p + melib_c --> h_c + melib_p,Transport Systems
MEOHtex,meoh_e <=> meoh_p,Transport Systems
MEOHtrpp,meoh_p <=> meoh_c,Transport Systems
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,Cofactor and Vitamin Biosynthesis
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,Amino Acid Metabolism
METDabcpp,atp_c + h2o_c + met__D_p --> adp_c + h_c + met__D_c + pi_c,Transport Systems
METGL,h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c,Amino Acid Metabolism
METOX1s,h2o2_c + met__L_c --> h2o_c + metsox_S__L_c,Amino Acid Metabolism
METOX2s,h2o2_c + met__L_c --> h2o_c + metsox_R__L_c,Amino Acid Metabolism
METS,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,Amino Acid Metabolism
METSOXR1,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,Amino Acid Metabolism
METSOXR2,metsox_R__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,Amino Acid Metabolism
METTRS,atp_c + met__L_c + trnamet_c --> amp_c + mettrna_c + ppi_c,Cellular Processes and Storage
METabcpp,atp_c + h2o_c + met__L_p --> adp_c + h_c + met__L_c + pi_c,Transport Systems
METtex,met__L_e <=> met__L_p,Transport Systems
MG2tex,mg2_e <=> mg2_p,Transport Systems
MG2tpp,mg2_p --> mg2_c,Transport Systems
MG2uabcpp,atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c,Transport Systems
MGCH,3mgcoa_c + h2o_c --> hmgcoa_c,Amino Acid Metabolism
MI1PP,h2o_c + mi1p__D_c --> inost_c + pi_c,Cell Envelope and Wall Biosynthesis
MICITDr,2mcacn_c + h2o_c <=> micit_c,Alternative Carbon Metabolism
MLDCP1App,h2o_p + murein5px4p_p --> alaala_p + murein3px4p_p,Cell Envelope and Wall Biosynthesis
MLDCP1Bpp,h2o_p + murein4p4p_p --> ala__D_p + murein4p3p_p,Cell Envelope and Wall Biosynthesis
MLDCP2App,h2o_p + murein5p5p_p --> alaala_p + murein5p3p_p,Cell Envelope and Wall Biosynthesis
MLDCP2Bpp,h2o_p + murein4p3p_p --> ala__D_p + murein3p3p_p,Cell Envelope and Wall Biosynthesis
MLDCP3App,h2o_p + murein5px3p_p --> alaala_p + murein3px3p_p,Cell Envelope and Wall Biosynthesis
MLDEP1pp,h2o_p + murein3px3p_p --> murein3p3p_p,Cell Envelope and Wall Biosynthesis
MLDEP2pp,h2o_p + murein5px3p_p --> murein5p3p_p,Cell Envelope and Wall Biosynthesis
MLTGY1pp,murein4p4p_p --> 2.0 anhgm4p_p,Cell Envelope and Wall Biosynthesis
MLTGY2pp,murein4p3p_p --> anhgm3p_p + anhgm4p_p,Cell Envelope and Wall Biosynthesis
MLTGY3pp,murein3p3p_p --> 2.0 anhgm3p_p,Cell Envelope and Wall Biosynthesis
MLTGY4pp,murein4px4p4p_p --> anhgm4p_p + murein4px4p_p,Cell Envelope and Wall Biosynthesis
MMETt2pp,h_p + mmet_p --> h_c + mmet_c,Transport Systems
MMETtex,mmet_e <=> mmet_p,Transport Systems
MMSAD3,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,Nitrogen Metabolism
MMTSAO,coa_c + mmtsa_c + nad_c --> co2_c + nadh_c + ppcoa_c,Amino Acid Metabolism
MN2t3pp,h_p + mn2_c --> h_c + mn2_p,Metal and Inorganic Metabolism
MNabc_1,atp_c + h2o_c + mn2_p --> adp_c + h_c + mn2_c + pi_c,Transport Systems
MNtex,mn2_e <=> mn2_p,Transport Systems
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,Cofactor and Vitamin Biosynthesis
MOAT2_kt,ckdo_c + kdolipid4_kt_c --> cmp_c + h_c + kdo2lipid4_kt_c,Cell Envelope and Wall Biosynthesis
MOAT_kt,ckdo_c + lipidA_kt_c --> cmp_c + h_c + kdolipid4_kt_c,Cell Envelope and Wall Biosynthesis
MOBDabcpp,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,Transport Systems
MOBDtex,mobd_e <=> mobd_p,Transport Systems
MOCOS,2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c,Cofactor and Vitamin Biosynthesis
MOGDS,gtp_c + h_c + moco_c --> mocogdp_c + ppi_c,Cofactor and Vitamin Biosynthesis
MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,Cofactor and Vitamin Biosynthesis
MOTH1,h2o_c + malttre_c --> malt_c + tre_c,Alternative Carbon Metabolism
MOTS1,maltttr_c --> malttre_c,Alternative Carbon Metabolism
MPTAT,atp_c + h_c + mpt_c --> mptamp_c + ppi_c,Cofactor and Vitamin Biosynthesis
MPTG,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c,Cell Envelope and Wall Biosynthesis
MPTG2,murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c,Cell Envelope and Wall Biosynthesis
MPTS,cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c,Cofactor and Vitamin Biosynthesis
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,Cofactor and Vitamin Biosynthesis
MSO3abcpp,atp_c + h2o_c + mso3_p --> adp_c + h_c + mso3_c + pi_c,Transport Systems
MSO3tex,mso3_e <=> mso3_p,Transport Systems
MSULR,ch4s_c + 3.0 h2o_c + 3.0 nadp_c <=> 4.0 h_c + mso3_c + 3.0 nadph_c,Metal and Inorganic Metabolism
MTHFC,h2o_c + methf_c <=> 10fthf_c + h_c,Cofactor and Vitamin Biosynthesis
MTHFD,mlthf_c + nadp_c <=> methf_c + nadph_c,Cofactor and Vitamin Biosynthesis
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,Cofactor and Vitamin Biosynthesis
MTI,tre_c <=> malt_c,Alternative Carbon Metabolism
MTOLDOX,h_c + m_tol_c + nadh_c + o2_c --> dh3mchc_c + nad_c,Aromatic Compound Degradation
MTRI,5mdr1p_c <=> 5mdru1p_c,Amino Acid Metabolism
MUCCYCI,ccmuac_c + h_c <=> mucl_c,Aromatic Compound Degradation
MUCCY_kt,CCbuttc_c + h_c --> 4cml_c,Aromatic Compound Degradation
MUCLI,mucl_c <=> 5odhf2a_c,Aromatic Compound Degradation
MXMO,h_c + m_xyl_c + nadh_c + o2_c --> 3mbzalc_c + h2o_c + nad_c,Aromatic Compound Degradation
MXYLt5,h_p + m_xyl_c --> h_c + m_xyl_e,Transport Systems
MXYLt6,h_p + m_xyl_p --> h_c + m_xyl_e,Transport Systems
M_XYLtpp,m_xyl_p <=> m_xyl_c,Transport Systems
M_Xylt1,m_xyl_e <=> m_xyl_p,Transport Systems
NACHY,nac_c + 0.5 o2_c --> 6hnac_c,Aromatic Compound Degradation
NACODA,acg5sa_c + h2o_c --> ac_c + glu5sa_c,Amino Acid Metabolism
NACt1pp,h_p + nac_p <=> h_c + nac_c,Transport Systems
NACtex,nac_e <=> nac_p,Transport Systems
NADDP,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,Cofactor and Vitamin Biosynthesis
NADH16pp,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,Energy Metabolism
NADH5,h_c + nadh_c + q8_c --> nad_c + q8h2_c,Energy Metabolism
NADHPO,h2o2_c + h_c + nadh_c --> 2.0 h2o_c + nad_c,Energy Metabolism
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,Cofactor and Vitamin Biosynthesis
NADN,h2o_c + nad_c --> adprib_c + h_c + ncam_c,Nucleotide Metabolism
NADPHQR2,h_c + nadph_c + q8_c --> nadp_c + q8h2_c,Energy Metabolism
NADS1,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,Cofactor and Vitamin Biosynthesis
NADTRHD,nad_c + nadph_c --> nadh_c + nadp_c,Energy Metabolism
NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,Cofactor and Vitamin Biosynthesis
NAt3_1p5pp,3.0 h_p + 2.0 na1_c --> 3.0 h_c + 2.0 na1_p,Transport Systems
NAt3_1pp,h_p + na1_c <=> h_c + na1_p,Transport Systems
NAt3_2pp,2.0 h_p + na1_c --> 2.0 h_c + na1_p,Transport Systems
NAt3pp,h_p + na1_c --> h_c + na1_p,Transport Systems
NAtex,na1_e <=> na1_p,Transport Systems
NBAHH_ir,carn_c + h2o_c --> ala_B_c + his__L_c,Nitrogen Metabolism
NCBMPTSabcpp,Ncbmpts_p + atp_c + h2o_c --> Ncbmpts_c + adp_c + h_c + pi_c,Transport Systems
NCBMPTStex,Ncbmpts_e <=> Ncbmpts_p,Transport Systems
NDPK1,atp_c + gdp_c <=> adp_c + gtp_c,Nucleotide Metabolism
NDPK2,atp_c + udp_c <=> adp_c + utp_c,Nucleotide Metabolism
NDPK3,atp_c + cdp_c <=> adp_c + ctp_c,Nucleotide Metabolism
NDPK4,atp_c + dtdp_c <=> adp_c + dttp_c,Nucleotide Metabolism
NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c,Nucleotide Metabolism
NDPK6,atp_c + dudp_c <=> adp_c + dutp_c,Nucleotide Metabolism
NDPK7,atp_c + dcdp_c <=> adp_c + dctp_c,Nucleotide Metabolism
NDPK8,atp_c + dadp_c <=> adp_c + datp_c,Nucleotide Metabolism
NFMLDF,h2o_c + nfmalm_c --> for_c + h_c + malm_c,Aromatic Compound Degradation
NFORGLUAH2,Nforglu_c + h2o_c --> for_c + glu__L_c,Amino Acid Metabolism
NH4t3pp,h_p + nh4_c --> h_c + nh4_p,Transport Systems
NH4tex,nh4_e <=> nh4_p,Transport Systems
NH4tpp,nh4_p <=> nh4_c,Transport Systems
NI2t3pp,h_p + ni2_c --> h_c + ni2_p,Metal and Inorganic Metabolism
NI2t4pp,h_p + k_p + ni2_c --> h_c + k_c + ni2_p,Metal and Inorganic Metabolism
NI2tex,ni2_e <=> ni2_p,Transport Systems
NI2tpp,ni2_p --> ni2_c,Transport Systems
NI2uabcpp,atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c,Transport Systems
NMNAT,atp_c + h_c + nmn_c --> nad_c + ppi_c,Cofactor and Vitamin Biosynthesis
NMNDA,h2o_c + nmn_c --> nh4_c + nicrnt_c,Cofactor and Vitamin Biosynthesis
NMNN,h2o_c + nmn_c --> h_c + ncam_c + r5p_c,Nucleotide Metabolism
NMTHDA,atp_c + 2.0 h2o_c + mthd_c --> Ncarbsar_c + adp_c + 2.0 h_c + pi_c,Nitrogen Metabolism
NNATr,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,Cofactor and Vitamin Biosynthesis
NNDMBRT,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,Cofactor and Vitamin Biosynthesis
